sales,quantity,discount,category,subcategory,ship_mode,segment,country,city,state,region,target,order_month,order_year
261.96,2,0.0,0,4,2,0,0,194,15,2,1,11,2019
731.94,3,0.0,0,5,2,0,0,194,15,2,1,11,2019
14.62,2,0.0,1,10,2,1,0,266,3,3,1,6,2019
957.5775,5,0.45,0,16,3,0,0,153,8,2,0,10,2018
22.368,2,0.2,1,14,3,0,0,153,8,2,1,10,2018
48.86,7,0.0,0,9,3,0,0,266,3,3,1,6,2017
7.28,4,0.0,1,2,3,0,0,266,3,3,1,6,2017
907.152,6,0.2,2,13,3,0,0,266,3,3,1,6,2017
18.504,3,0.2,1,3,3,0,0,266,3,3,1,6,2017
114.9,5,0.0,1,1,3,0,0,266,3,3,1,6,2017
1706.184,9,0.2,0,16,3,0,0,266,3,3,1,6,2017
911.424,4,0.2,2,13,3,0,0,266,3,3,1,6,2017
15.552,3,0.2,1,12,3,0,0,96,31,2,1,4,2020
407.976,3,0.2,1,3,3,0,0,452,45,3,1,12,2019
68.81,5,0.8,1,1,3,2,0,154,41,0,0,11,2018
2.544,3,0.8,1,3,3,2,0,154,41,0,0,11,2018
665.88,6,0.0,1,14,3,0,0,272,47,0,1,11,2017
55.5,2,0.0,1,14,2,0,0,513,42,3,1,5,2017
8.56,2,0.0,1,2,2,0,0,438,3,3,1,8,2017
213.48,3,0.2,2,13,2,0,0,438,3,3,1,8,2017
22.72,4,0.2,1,3,2,0,0,438,3,3,1,8,2017
19.46,7,0.0,1,2,3,1,0,158,25,0,1,12,2019
60.34,7,0.0,1,1,3,1,0,158,25,0,1,12,2019
71.372,2,0.3,0,5,2,0,0,374,36,1,0,7,2020
1044.63,3,0.0,0,16,3,0,0,351,42,3,1,9,2018
11.648,2,0.2,1,3,2,0,0,266,3,3,1,1,2019
90.57,3,0.0,2,0,2,0,0,266,3,3,1,1,2019
3083.43,7,0.5,0,4,3,0,0,374,36,1,0,9,2018
9.618,2,0.7,1,3,3,0,0,374,36,1,0,9,2018
124.2,3,0.2,0,9,3,0,0,374,36,1,1,9,2018
3.264,2,0.2,1,7,3,0,0,374,36,1,1,9,2018
86.304,6,0.2,1,2,3,0,0,374,36,1,1,9,2018
6.858,6,0.7,1,3,3,0,0,374,36,1,0,9,2018
15.76,2,0.2,1,2,3,0,0,374,36,1,1,9,2018
29.472,3,0.2,1,12,2,2,0,207,41,0,1,10,2020
1097.544,7,0.2,2,13,0,1,0,406,41,0,1,12,2019
190.92,5,0.6,0,9,0,1,0,406,41,0,0,12,2019
113.328,9,0.2,1,7,3,2,0,207,41,0,1,12,2018
532.3992,3,0.32,0,4,3,2,0,207,41,0,0,12,2018
212.058,3,0.3,0,5,3,2,0,207,41,0,0,12,2018
371.168,4,0.2,2,13,3,2,0,207,41,0,1,12,2018
147.168,4,0.2,2,13,3,1,0,321,11,0,1,9,2020
77.88,2,0.0,1,14,3,1,0,266,3,3,1,7,2019
95.616,2,0.2,1,14,3,1,0,288,8,2,1,9,2020
45.98,2,0.0,2,0,0,1,0,129,21,0,1,3,2019
17.46,2,0.0,1,3,0,1,0,129,21,0,1,3,2019
211.96,4,0.0,1,14,2,0,0,516,20,0,1,10,2017
45.0,3,0.0,2,0,3,0,0,124,6,1,1,6,2019
21.8,2,0.0,2,13,3,0,0,124,6,1,1,6,2019
38.22,6,0.0,1,3,3,0,0,324,12,0,1,4,2018
75.18,6,0.0,1,10,3,0,0,324,12,0,1,4,2018
6.16,2,0.0,0,9,3,0,0,324,12,0,1,4,2018
89.99,1,0.0,0,5,3,0,0,324,12,0,1,4,2018
15.26,7,0.0,1,8,3,1,0,329,30,1,1,12,2019
1029.95,5,0.0,2,13,3,1,0,329,30,1,1,12,2019
208.56,6,0.0,1,14,0,0,0,488,30,1,1,6,2019
32.4,5,0.0,1,12,0,0,0,488,30,1,1,6,2019
319.41,5,0.1,0,5,0,0,0,488,30,1,1,6,2019
14.56,2,0.0,1,12,0,0,0,488,30,1,1,6,2019
30.0,2,0.0,2,0,0,0,0,488,30,1,1,6,2019
48.48,4,0.2,1,3,0,0,0,488,30,1,1,6,2019
1.68,1,0.0,1,2,0,0,0,488,30,1,1,6,2019
13.98,2,0.0,2,0,3,0,0,266,3,3,1,11,2018
25.824,6,0.2,1,3,3,0,0,266,3,3,1,11,2018
146.73,3,0.0,1,12,3,0,0,266,3,3,1,11,2018
